interaction_id,customer_id,interaction_date,interaction_type,reason,agent_id,duration_minutes,resolution_status,satisfaction_score,notes
CRM0000674,CUST003986,2022-09-24,Phone Call,Order Status,AGENT040,9.0,Pending,1.0,Customer satisfied
CRM0003669,CUST002640,2022-09-25,Phone Call,Return Request,AGENT014,48.0,Pending,5.0,Complex issue
CRM0001849,CUST000635,2022-09-25,Email,General Question,AGENT022,,Resolved,1.0,Follow-up needed
CRM0004315,CUST002032,2022-09-25,Social Media,Billing Issue,AGENT037,12.0,Resolved,4.0,Resolved quickly
CRM0006435,CUST000223,2022-09-25,In-Person,Feedback,AGENT009,5.0,Closed,4.0,Resolved quickly
CRM0002622,CUST002475,2022-09-25,Social Media,Technical Support,AGENT019,49.0,Resolved,4.0,Resolved quickly
CRM0003812,CUST000468,2022-09-26,Email,Return Request,AGENT038,,Resolved,3.0,Customer satisfied
CRM0002029,CUST002849,2022-09-26,Phone Call,General Question,AGENT025,,Resolved,3.0,Resolved quickly
CRM0000302,CUST000968,2022-09-26,In-Person,Complaint,AGENT032,,Resolved,5.0,Resolved quickly
CRM0005339,CUST003882,2022-09-26,In-Person,Technical Support,AGENT022,31.0,Pending,,Complex issue
CRM0002897,CUST002561,2022-09-26,Social Media,Feedback,AGENT035,13.0,Resolved,3.0,Resolved quickly
CRM0006026,CUST002349,2022-09-27,Email,Product Inquiry,AGENT039,56.0,Resolved,4.0,Follow-up needed
CRM0006894,CUST004468,2022-09-27,Social Media,Order Status,AGENT045,,Resolved,4.0,Issue escalated
CRM0006117,CUST002211,2022-09-27,Email,Complaint,AGENT012,,Escalated,4.0,
CRM0004293,CUST004458,2022-09-27,Phone Call,Billing Issue,AGENT046,4.0,Closed,4.0,Follow-up needed
CRM0003768,CUST000580,2022-09-28,Social Media,Product Inquiry,AGENT033,3.0,Resolved,5.0,
CRM0004564,CUST000368,2022-09-28,In-Person,Product Inquiry,AGENT048,,Resolved,1.0,
CRM0001723,CUST002933,2022-09-28,Social Media,Product Inquiry,AGENT005,,Resolved,2.0,
CRM0001064,CUST003705,2022-09-28,Email,Order Status,AGENT039,58.0,Escalated,4.0,Complex issue
CRM0002084,CUST002231,2022-09-28,Social Media,General Question,AGENT015,,Escalated,5.0,Complex issue
CRM0007997,CUST002053,2022-09-28,Phone Call,Complaint,AGENT023,37.0,Pending,5.0,Follow-up needed
CRM0005846,CUST003680,2022-09-28,Email,Order Status,AGENT021,25.0,Resolved,5.0,Issue escalated
CRM0001193,CUST003898,2022-09-28,Chat,Technical Support,AGENT041,,Resolved,2.0,Follow-up needed
CRM0004412,CUST002610,2022-09-29,Email,General Question,AGENT009,60.0,Resolved,5.0,Customer satisfied
CRM0000821,CUST002865,2022-09-29,In-Person,Order Status,AGENT017,16.0,Escalated,4.0,Complex issue
CRM0000893,CUST000494,2022-09-29,In-Person,Product Inquiry,AGENT015,33.0,Resolved,4.0,Customer satisfied
CRM0000675,CUST001159,2022-09-29,Email,Order Status,AGENT018,31.0,Pending,,Customer satisfied
CRM0006072,CUST000830,2022-09-29,Social Media,Technical Support,AGENT025,,Resolved,,Customer satisfied
CRM0001961,CUST000211,2022-09-30,Phone Call,Complaint,AGENT011,,Closed,1.0,Customer satisfied
CRM0007165,CUST000648,2022-09-30,Email,General Question,AGENT024,40.0,Closed,2.0,Customer satisfied
CRM0001019,CUST004333,2022-09-30,Email,Complaint,AGENT017,55.0,Resolved,5.0,
CRM0002262,CUST001049,2022-09-30,Phone Call,General Question,AGENT035,45.0,Resolved,3.0,Complex issue
CRM0002714,CUST000837,2022-09-30,Phone Call,General Question,AGENT027,,Resolved,5.0,Customer satisfied
CRM0006847,CUST001186,2022-09-30,Social Media,Complaint,AGENT030,27.0,Resolved,3.0,Complex issue
CRM0003830,CUST004778,2022-09-30,In-Person,Billing Issue,AGENT018,33.0,Closed,4.0,Customer satisfied
CRM0004876,CUST003525,2022-09-30,In-Person,Feedback,AGENT037,,Resolved,4.0,Issue escalated
CRM0005074,CUST004765,2022-10-01,Social Media,Product Inquiry,AGENT040,23.0,Resolved,1.0,Complex issue
CRM0001964,CUST000595,2022-10-01,Email,Billing Issue,AGENT010,,Resolved,3.0,Customer satisfied
CRM0003756,CUST003176,2022-10-01,Email,Order Status,AGENT023,19.0,Pending,2.0,Customer satisfied
CRM0007645,CUST003692,2022-10-01,Social Media,Technical Support,AGENT012,,Escalated,,Complex issue
CRM0007603,CUST004914,2022-10-01,Social Media,Return Request,AGENT031,,Resolved,5.0,Issue escalated
CRM0002459,CUST003077,2022-10-01,Email,Return Request,AGENT018,28.0,Resolved,2.0,Resolved quickly
CRM0004949,CUST003508,2022-10-02,Phone Call,Order Status,AGENT032,3.0,Resolved,3.0,Follow-up needed
CRM0003427,CUST003889,2022-10-02,Social Media,Product Inquiry,AGENT026,24.0,Resolved,4.0,
CRM0004162,CUST002446,2022-10-02,Chat,Product Inquiry,AGENT033,,Resolved,5.0,
CRM0000551,CUST003683,2022-10-02,Phone Call,Billing Issue,AGENT003,,Resolved,5.0,Issue escalated
CRM0000573,CUST002410,2022-10-02,In-Person,Billing Issue,AGENT045,39.0,Pending,3.0,Follow-up needed
CRM0005622,CUST003605,2022-10-03,Phone Call,Complaint,AGENT009,,Resolved,3.0,Complex issue
CRM0005525,CUST002832,2022-10-03,Social Media,Technical Support,AGENT014,29.0,Resolved,4.0,Customer satisfied
CRM0006743,CUST002475,2022-10-03,Phone Call,Product Inquiry,AGENT014,,Resolved,2.0,Customer satisfied
CRM0006399,CUST002682,2022-10-03,Phone Call,Product Inquiry,AGENT031,40.0,Pending,4.0,Issue escalated
CRM0004473,CUST001165,2022-10-03,Email,Order Status,AGENT045,59.0,Resolved,3.0,Customer satisfied
CRM0004934,CUST000353,2022-10-03,Email,General Question,AGENT014,,Escalated,5.0,Resolved quickly
CRM0004141,CUST001228,2022-10-03,Social Media,Billing Issue,AGENT013,,Resolved,4.0,Customer satisfied
CRM0007899,CUST003293,2022-10-04,Phone Call,Complaint,AGENT021,26.0,Closed,,Follow-up needed
CRM0005100,CUST002064,2022-10-04,Social Media,Billing Issue,AGENT049,11.0,Resolved,4.0,Customer satisfied
CRM0007801,CUST004695,2022-10-04,Social Media,Complaint,AGENT024,37.0,Resolved,5.0,Complex issue
CRM0005097,CUST002839,2022-10-04,Chat,Feedback,AGENT030,16.0,Closed,5.0,
CRM0003161,CUST000357,2022-10-04,Email,Feedback,AGENT037,29.0,Resolved,5.0,Complex issue
CRM0000361,CUST004494,2022-10-04,Social Media,Billing Issue,AGENT014,,Resolved,3.0,Resolved quickly
CRM0002364,CUST003973,2022-10-04,Email,Technical Support,AGENT032,24.0,Pending,1.0,
CRM0005043,CUST000857,2022-10-04,Social Media,Feedback,AGENT026,,Resolved,3.0,Follow-up needed
CRM0005802,CUST002589,2022-10-05,Social Media,Return Request,AGENT013,,Resolved,2.0,
CRM0001839,CUST002845,2022-10-05,In-Person,General Question,AGENT044,,Resolved,4.0,Issue escalated
CRM0003585,CUST004252,2022-10-06,Phone Call,Product Inquiry,AGENT036,6.0,Escalated,5.0,Follow-up needed
CRM0004053,CUST003754,2022-10-06,Phone Call,Order Status,AGENT045,16.0,Resolved,4.0,Complex issue
CRM0004393,CUST003229,2022-10-06,In-Person,Product Inquiry,AGENT021,,Resolved,5.0,Follow-up needed
CRM0002856,CUST004517,2022-10-06,Chat,General Question,AGENT005,44.0,Resolved,4.0,Customer satisfied
CRM0005549,CUST004527,2022-10-06,Chat,Order Status,AGENT027,13.0,Pending,4.0,Issue escalated
CRM0004884,CUST003683,2022-10-06,Email,Product Inquiry,AGENT047,7.0,Pending,4.0,Issue escalated
CRM0002701,CUST003723,2022-10-07,Social Media,Billing Issue,AGENT040,,Resolved,2.0,Follow-up needed
CRM0002456,CUST001197,2022-10-07,In-Person,Feedback,AGENT019,53.0,Pending,3.0,Complex issue
CRM0002865,CUST000210,2022-10-07,Social Media,Technical Support,AGENT016,,Escalated,,Customer satisfied
CRM0005771,CUST004918,2022-10-07,Chat,Feedback,AGENT040,,Resolved,3.0,Complex issue
CRM0004942,CUST000792,2022-10-07,Phone Call,Complaint,AGENT050,22.0,Resolved,,Issue escalated
CRM0006590,CUST004486,2022-10-07,Phone Call,Feedback,AGENT019,,Resolved,5.0,Follow-up needed
CRM0003932,CUST002636,2022-10-07,Chat,Order Status,AGENT020,23.0,Pending,5.0,Issue escalated
CRM0002906,CUST003746,2022-10-07,Phone Call,General Question,AGENT048,50.0,Escalated,4.0,
CRM0006236,CUST001353,2022-10-07,Social Media,Billing Issue,AGENT036,40.0,Resolved,2.0,
CRM0002932,CUST001588,2022-10-07,Phone Call,Technical Support,AGENT045,4.0,Pending,3.0,Customer satisfied
CRM0004157,CUST002038,2022-10-07,Social Media,Technical Support,AGENT033,53.0,Resolved,5.0,
CRM0000580,CUST000786,2022-10-08,Phone Call,Product Inquiry,AGENT038,27.0,Pending,,
CRM0000454,CUST002657,2022-10-08,Phone Call,Complaint,AGENT031,53.0,Pending,5.0,Resolved quickly
CRM0006149,CUST004715,2022-10-08,In-Person,Technical Support,AGENT024,12.0,Resolved,5.0,Complex issue
CRM0001735,CUST000987,2022-10-08,Email,Order Status,AGENT018,14.0,Resolved,5.0,Issue escalated
CRM0007752,CUST002009,2022-10-08,Chat,Complaint,AGENT050,60.0,Resolved,5.0,Follow-up needed
CRM0000358,CUST004803,2022-10-08,Chat,Billing Issue,AGENT050,29.0,Pending,5.0,Customer satisfied
CRM0006640,CUST003553,2022-10-08,Chat,Complaint,AGENT045,19.0,Resolved,,Follow-up needed
CRM0003711,CUST000721,2022-10-08,Social Media,Return Request,AGENT036,6.0,Resolved,4.0,Follow-up needed
CRM0001651,CUST004039,2022-10-08,In-Person,Order Status,AGENT050,,Pending,4.0,Complex issue
CRM0001108,CUST000499,2022-10-09,Phone Call,Product Inquiry,AGENT031,36.0,Resolved,3.0,Issue escalated
CRM0002920,CUST003315,2022-10-09,Phone Call,Product Inquiry,AGENT007,32.0,Pending,5.0,Issue escalated
CRM0004675,CUST001055,2022-10-09,Chat,Return Request,AGENT006,57.0,Pending,5.0,Complex issue
CRM0000479,CUST000820,2022-10-09,Social Media,Return Request,AGENT015,13.0,Closed,3.0,Follow-up needed
CRM0007432,CUST002463,2022-10-09,Chat,Product Inquiry,AGENT036,,Resolved,3.0,Customer satisfied
CRM0004801,CUST001376,2022-10-09,Chat,Product Inquiry,AGENT002,,Resolved,3.0,Resolved quickly
CRM0003692,CUST000744,2022-10-09,In-Person,Technical Support,AGENT038,,Resolved,2.0,
CRM0001705,CUST000243,2022-10-09,In-Person,Return Request,AGENT043,,Resolved,1.0,Customer satisfied
CRM0005053,CUST002233,2022-10-09,In-Person,General Question,AGENT005,4.0,Escalated,5.0,Complex issue
CRM0001911,CUST002478,2022-10-09,Phone Call,Complaint,AGENT007,,Resolved,5.0,Resolved quickly
CRM0002115,CUST001817,2022-10-10,Email,Billing Issue,AGENT014,58.0,Resolved,5.0,Resolved quickly
CRM0001743,CUST002384,2022-10-10,Social Media,General Question,AGENT035,39.0,Closed,4.0,Follow-up needed
CRM0001242,CUST001935,2022-10-10,In-Person,Return Request,AGENT028,13.0,Pending,4.0,Issue escalated
CRM0000678,CUST001818,2022-10-10,Social Media,Billing Issue,AGENT014,,Escalated,4.0,Customer satisfied
CRM0004145,CUST001377,2022-10-10,In-Person,Return Request,AGENT027,58.0,Resolved,2.0,
CRM0004025,CUST002972,2022-10-10,In-Person,Product Inquiry,AGENT029,32.0,Resolved,4.0,Issue escalated
CRM0006786,CUST004377,2022-10-10,In-Person,Technical Support,AGENT044,40.0,Pending,4.0,Issue escalated
CRM0006879,CUST003342,2022-10-10,Email,Product Inquiry,AGENT049,3.0,Resolved,3.0,Complex issue
CRM0001625,CUST003865,2022-10-10,Social Media,General Question,AGENT048,12.0,Resolved,3.0,Resolved quickly
CRM0001624,CUST003404,2022-10-10,In-Person,Product Inquiry,AGENT015,11.0,Resolved,2.0,Resolved quickly
CRM0002798,CUST001910,2022-10-11,Email,Billing Issue,AGENT016,40.0,Closed,4.0,Resolved quickly
CRM0000291,CUST004446,2022-10-11,Phone Call,General Question,AGENT037,10.0,Pending,5.0,
CRM0005338,CUST000347,2022-10-11,Email,Technical Support,AGENT048,43.0,Closed,,Follow-up needed
CRM0007079,CUST001339,2022-10-11,Email,Billing Issue,AGENT024,,Escalated,4.0,Issue escalated
CRM0000769,CUST000334,2022-10-11,Email,Return Request,AGENT003,,Resolved,5.0,Follow-up needed
CRM0007123,CUST003251,2022-10-11,Email,Order Status,AGENT034,,Escalated,1.0,Follow-up needed
CRM0004429,CUST001522,2022-10-12,Phone Call,Complaint,AGENT050,5.0,Pending,5.0,Follow-up needed
CRM0001201,CUST002153,2022-10-12,In-Person,Complaint,AGENT015,39.0,Pending,4.0,Issue escalated
CRM0005381,CUST001029,2022-10-12,Email,General Question,AGENT017,14.0,Pending,4.0,Issue escalated
CRM0001430,CUST002687,2022-10-12,Chat,Complaint,AGENT046,36.0,Resolved,4.0,Customer satisfied
CRM0004108,CUST003767,2022-10-12,Email,Technical Support,AGENT032,41.0,Closed,5.0,Customer satisfied
CRM0000077,CUST004803,2022-10-12,In-Person,Feedback,AGENT029,18.0,Pending,4.0,Resolved quickly
CRM0005559,CUST002780,2022-10-12,Chat,General Question,AGENT011,,Resolved,5.0,Resolved quickly
CRM0001626,CUST003465,2022-10-12,In-Person,Billing Issue,AGENT028,10.0,Resolved,3.0,Resolved quickly
CRM0007322,CUST002846,2022-10-13,Chat,General Question,AGENT021,6.0,Resolved,2.0,Follow-up needed
CRM0000880,CUST002273,2022-10-13,Social Media,Order Status,AGENT007,42.0,Pending,3.0,Complex issue
CRM0002446,CUST004781,2022-10-13,Chat,General Question,AGENT035,,Escalated,3.0,Issue escalated
CRM0002411,CUST002792,2022-10-13,In-Person,Billing Issue,AGENT037,10.0,Resolved,3.0,Follow-up needed
CRM0003530,CUST003202,2022-10-13,Social Media,Billing Issue,AGENT041,40.0,Resolved,,
CRM0003933,CUST003007,2022-10-13,In-Person,Return Request,AGENT007,26.0,Resolved,,Follow-up needed
CRM0003622,CUST003279,2022-10-14,Chat,Technical Support,AGENT022,41.0,Resolved,5.0,Follow-up needed
CRM0000437,CUST002655,2022-10-14,Social Media,Product Inquiry,AGENT021,,Resolved,3.0,Issue escalated
CRM0000766,CUST003664,2022-10-14,In-Person,Product Inquiry,AGENT043,45.0,Resolved,5.0,Customer satisfied
CRM0001196,CUST003145,2022-10-14,In-Person,Return Request,AGENT042,3.0,Resolved,1.0,Customer satisfied
CRM0006851,CUST003641,2022-10-14,Chat,Technical Support,AGENT009,28.0,Resolved,3.0,Complex issue
CRM0004265,CUST000916,2022-10-14,Phone Call,Feedback,AGENT027,10.0,Resolved,5.0,Complex issue
CRM0004199,CUST000045,2022-10-14,In-Person,Technical Support,AGENT028,39.0,Escalated,5.0,Customer satisfied
CRM0005790,CUST002855,2022-10-14,Phone Call,Billing Issue,AGENT015,,Pending,3.0,
CRM0007279,CUST004530,2022-10-14,Social Media,Billing Issue,AGENT043,60.0,Resolved,,Complex issue
CRM0001587,CUST002469,2022-10-15,In-Person,Feedback,AGENT036,41.0,Resolved,3.0,Resolved quickly
CRM0003604,CUST000220,2022-10-15,Social Media,Billing Issue,AGENT033,,Resolved,,
CRM0003989,CUST001930,2022-10-15,Chat,Complaint,AGENT030,,Resolved,2.0,Resolved quickly
CRM0006088,CUST002635,2022-10-15,Phone Call,Feedback,AGENT019,,Resolved,4.0,
CRM0002140,CUST004369,2022-10-15,Phone Call,Product Inquiry,AGENT050,8.0,Resolved,,Follow-up needed
CRM0004100,CUST000624,2022-10-15,Social Media,Technical Support,AGENT025,37.0,Escalated,2.0,Resolved quickly
CRM0000387,CUST002586,2022-10-16,In-Person,Technical Support,AGENT020,,Resolved,4.0,Customer satisfied
CRM0004828,CUST003055,2022-10-16,Chat,Billing Issue,AGENT017,,Resolved,3.0,Complex issue
CRM0006273,CUST001267,2022-10-16,Chat,Order Status,AGENT003,,Resolved,4.0,Follow-up needed
CRM0000406,CUST000086,2022-10-16,Chat,Return Request,AGENT033,,Escalated,3.0,Customer satisfied
CRM0005932,CUST003044,2022-10-16,Email,Complaint,AGENT010,37.0,Resolved,,Customer satisfied
CRM0006012,CUST003956,2022-10-16,In-Person,Complaint,AGENT028,38.0,Pending,5.0,Issue escalated
CRM0006521,CUST003574,2022-10-16,Email,Feedback,AGENT014,52.0,Closed,4.0,Complex issue
CRM0007091,CUST000416,2022-10-16,Email,Feedback,AGENT024,45.0,Closed,2.0,Complex issue
CRM0002960,CUST001197,2022-10-16,Phone Call,Billing Issue,AGENT009,,Resolved,4.0,Customer satisfied
CRM0003048,CUST003752,2022-10-17,Email,Product Inquiry,AGENT012,14.0,Resolved,1.0,Complex issue
CRM0005831,CUST002678,2022-10-17,Phone Call,Technical Support,AGENT033,17.0,Resolved,3.0,Customer satisfied
CRM0006033,CUST002450,2022-10-17,Phone Call,Feedback,AGENT041,3.0,Closed,2.0,Follow-up needed
CRM0003813,CUST000449,2022-10-17,Social Media,Return Request,AGENT035,24.0,Escalated,5.0,Customer satisfied
CRM0002645,CUST002725,2022-10-17,In-Person,Feedback,AGENT031,22.0,Pending,2.0,Follow-up needed
CRM0006982,CUST001842,2022-10-17,Social Media,Complaint,AGENT021,43.0,Pending,4.0,Complex issue
CRM0000996,CUST000055,2022-10-17,Email,Technical Support,AGENT012,,Resolved,5.0,
CRM0004690,CUST000264,2022-10-18,In-Person,Feedback,AGENT023,30.0,Closed,3.0,
CRM0006957,CUST003826,2022-10-18,Social Media,Return Request,AGENT008,17.0,Resolved,,Issue escalated
CRM0002245,CUST002968,2022-10-18,In-Person,Complaint,AGENT036,7.0,Pending,5.0,Follow-up needed
CRM0004330,CUST000335,2022-10-18,Chat,Product Inquiry,AGENT036,,Pending,5.0,Follow-up needed
CRM0000176,CUST000418,2022-10-18,Social Media,Product Inquiry,AGENT027,9.0,Closed,4.0,Complex issue
CRM0003084,CUST002834,2022-10-18,Chat,Order Status,AGENT022,,Resolved,5.0,Complex issue
CRM0000825,CUST001461,2022-10-18,Social Media,Return Request,AGENT004,,Closed,4.0,Complex issue
CRM0007876,CUST001649,2022-10-18,Chat,Billing Issue,AGENT020,36.0,Closed,3.0,Resolved quickly
CRM0002627,CUST000805,2022-10-19,Chat,Technical Support,AGENT018,44.0,Resolved,4.0,Follow-up needed
CRM0005732,CUST004308,2022-10-19,Email,Billing Issue,AGENT038,,Pending,4.0,Follow-up needed
CRM0004516,CUST000133,2022-10-19,Chat,Billing Issue,AGENT050,,Resolved,3.0,Resolved quickly
CRM0005207,CUST001704,2022-10-19,Chat,Complaint,AGENT005,49.0,Pending,5.0,Customer satisfied
CRM0001576,CUST001165,2022-10-19,Phone Call,Technical Support,AGENT049,8.0,Escalated,3.0,Customer satisfied
CRM0001543,CUST002531,2022-10-19,Phone Call,Order Status,AGENT044,6.0,Resolved,4.0,Customer satisfied
CRM0003591,CUST001230,2022-10-20,In-Person,Product Inquiry,AGENT041,32.0,Escalated,4.0,Issue escalated
CRM0002650,CUST004385,2022-10-20,Social Media,Product Inquiry,AGENT033,18.0,Resolved,4.0,Complex issue
CRM0007543,CUST001595,2022-10-20,Email,Return Request,AGENT029,,Resolved,2.0,Issue escalated
CRM0001210,CUST004336,2022-10-20,Phone Call,Return Request,AGENT008,33.0,Pending,1.0,Complex issue
CRM0006432,CUST003314,2022-10-20,Phone Call,Technical Support,AGENT045,32.0,Resolved,,Follow-up needed
CRM0007268,CUST003894,2022-10-21,Social Media,Billing Issue,AGENT038,4.0,Pending,,Customer satisfied
CRM0000818,CUST004372,2022-10-21,Social Media,Order Status,AGENT044,29.0,Closed,5.0,Follow-up needed
CRM0005778,CUST003943,2022-10-21,In-Person,Billing Issue,AGENT029,12.0,Pending,4.0,Follow-up needed
CRM0004923,CUST003243,2022-10-21,In-Person,General Question,AGENT012,55.0,Resolved,4.0,Follow-up needed
CRM0006245,CUST001016,2022-10-22,Phone Call,Order Status,AGENT013,,Resolved,4.0,Customer satisfied
CRM0006468,CUST004815,2022-10-22,Chat,Feedback,AGENT026,,Pending,4.0,Follow-up needed
CRM0007374,CUST004153,2022-10-22,In-Person,Product Inquiry,AGENT033,31.0,Closed,,Issue escalated
CRM0002128,CUST003339,2022-10-22,In-Person,Return Request,AGENT017,,Escalated,3.0,Resolved quickly
CRM0006342,CUST003429,2022-10-22,In-Person,General Question,AGENT048,35.0,Resolved,4.0,Issue escalated
CRM0005153,CUST001512,2022-10-23,Email,Complaint,AGENT035,,Closed,5.0,Complex issue
CRM0003783,CUST002157,2022-10-23,Chat,Technical Support,AGENT043,49.0,Resolved,2.0,
CRM0004026,CUST001145,2022-10-23,In-Person,Complaint,AGENT012,31.0,Resolved,2.0,Follow-up needed
CRM0004255,CUST000990,2022-10-23,Social Media,Complaint,AGENT021,38.0,Resolved,4.0,
CRM0002529,CUST004626,2022-10-23,In-Person,Technical Support,AGENT042,17.0,Resolved,4.0,Follow-up needed
CRM0002036,CUST003174,2022-10-23,Email,Product Inquiry,AGENT026,,Resolved,4.0,Follow-up needed
CRM0005422,CUST000284,2022-10-23,Social Media,Billing Issue,AGENT049,19.0,Pending,3.0,Resolved quickly
CRM0001821,CUST001142,2022-10-24,Social Media,Billing Issue,AGENT007,55.0,Escalated,5.0,
CRM0001810,CUST002084,2022-10-24,Chat,General Question,AGENT029,20.0,Resolved,5.0,
CRM0007468,CUST000345,2022-10-24,Social Media,Complaint,AGENT031,56.0,Closed,4.0,Complex issue
CRM0004987,CUST003917,2022-10-24,Email,Technical Support,AGENT014,50.0,Escalated,4.0,Resolved quickly
CRM0007328,CUST000253,2022-10-24,In-Person,Complaint,AGENT006,,Resolved,4.0,Follow-up needed
CRM0001245,CUST004338,2022-10-24,Social Media,Product Inquiry,AGENT042,54.0,Resolved,3.0,Resolved quickly
CRM0002408,CUST000940,2022-10-24,Chat,Technical Support,AGENT003,44.0,Resolved,4.0,Complex issue
CRM0004650,CUST002461,2022-10-25,Phone Call,Product Inquiry,AGENT036,28.0,Resolved,5.0,Complex issue
CRM0002958,CUST000398,2022-10-25,Email,Technical Support,AGENT027,24.0,Pending,3.0,Follow-up needed
CRM0007401,CUST000077,2022-10-25,Email,General Question,AGENT013,24.0,Resolved,4.0,Issue escalated
CRM0002651,CUST001698,2022-10-25,Chat,Return Request,AGENT024,35.0,Resolved,,
CRM0004832,CUST004029,2022-10-25,Email,Return Request,AGENT025,30.0,Escalated,5.0,Issue escalated
CRM0005306,CUST002653,2022-10-25,In-Person,Billing Issue,AGENT017,59.0,Resolved,5.0,Issue escalated
CRM0004286,CUST004015,2022-10-25,Social Media,Return Request,AGENT005,54.0,Resolved,5.0,Issue escalated
CRM0004688,CUST000290,2022-10-26,Social Media,General Question,AGENT012,48.0,Pending,4.0,Customer satisfied
CRM0007727,CUST004798,2022-10-26,Chat,Return Request,AGENT049,,Resolved,5.0,
CRM0000002,CUST004329,2022-10-26,Email,Order Status,AGENT045,43.0,Pending,5.0,
CRM0002877,CUST002650,2022-10-26,In-Person,Technical Support,AGENT048,34.0,Resolved,5.0,Customer satisfied
CRM0006244,CUST003353,2022-10-26,Chat,Complaint,AGENT011,26.0,Closed,1.0,Complex issue
CRM0003678,CUST002139,2022-10-26,Social Media,Return Request,AGENT021,15.0,Resolved,2.0,Complex issue
CRM0001345,CUST002371,2022-10-26,Social Media,Order Status,AGENT028,60.0,Resolved,4.0,
CRM0005501,CUST003029,2022-10-26,Social Media,General Question,AGENT037,31.0,Resolved,3.0,Complex issue
CRM0004779,CUST000734,2022-10-26,Chat,Billing Issue,AGENT048,30.0,Resolved,2.0,
CRM0001977,CUST001419,2022-10-26,Phone Call,General Question,AGENT005,49.0,Resolved,4.0,Issue escalated
CRM0003244,CUST000990,2022-10-26,Chat,Feedback,AGENT007,5.0,Escalated,4.0,Customer satisfied
CRM0007987,CUST000521,2022-10-26,Email,Product Inquiry,AGENT012,,Resolved,2.0,Complex issue
CRM0000629,CUST001055,2022-10-26,Email,Technical Support,AGENT028,43.0,Escalated,5.0,Resolved quickly
CRM0002189,CUST002424,2022-10-26,Email,Return Request,AGENT024,54.0,Resolved,4.0,Issue escalated
CRM0006835,CUST000387,2022-10-27,Phone Call,Technical Support,AGENT023,,Closed,3.0,
CRM0004707,CUST004603,2022-10-27,In-Person,Billing Issue,AGENT046,59.0,Resolved,3.0,Customer satisfied
CRM0000386,CUST000552,2022-10-27,Phone Call,Return Request,AGENT010,51.0,Resolved,5.0,
CRM0003949,CUST001795,2022-10-27,Email,Technical Support,AGENT003,29.0,Resolved,5.0,Resolved quickly
CRM0004202,CUST002101,2022-10-27,In-Person,Feedback,AGENT013,,Resolved,5.0,Resolved quickly
CRM0002495,CUST001367,2022-10-27,Phone Call,Return Request,AGENT024,42.0,Closed,4.0,Customer satisfied
CRM0007815,CUST002462,2022-10-27,Phone Call,Technical Support,AGENT003,53.0,Resolved,5.0,Issue escalated
CRM0002079,CUST000492,2022-10-27,Chat,Technical Support,AGENT034,,Resolved,5.0,
CRM0007180,CUST001775,2022-10-27,In-Person,Order Status,AGENT034,,Resolved,5.0,Customer satisfied
CRM0000705,CUST001588,2022-10-27,Email,Technical Support,AGENT044,,Resolved,4.0,Complex issue
CRM0004910,CUST002849,2022-10-28,Email,Billing Issue,AGENT044,14.0,Closed,3.0,
CRM0001579,CUST003823,2022-10-28,Email,Technical Support,AGENT025,18.0,Resolved,4.0,Complex issue
CRM0000374,CUST001451,2022-10-29,Chat,General Question,AGENT029,,Resolved,3.0,Follow-up needed
CRM0005328,CUST004173,2022-10-29,Social Media,Return Request,AGENT016,32.0,Resolved,2.0,Complex issue
CRM0005599,CUST001927,2022-10-29,In-Person,Return Request,AGENT020,22.0,Resolved,4.0,
CRM0006718,CUST001429,2022-10-29,Chat,Order Status,AGENT047,32.0,Pending,2.0,
CRM0003852,CUST001323,2022-10-29,Social Media,Billing Issue,AGENT038,55.0,Resolved,,Issue escalated
CRM0001837,CUST003798,2022-10-29,Phone Call,Feedback,AGENT037,46.0,Pending,2.0,Follow-up needed
CRM0001066,CUST004958,2022-10-29,Phone Call,Billing Issue,AGENT017,59.0,Closed,4.0,Issue escalated
CRM0001024,CUST004038,2022-10-30,In-Person,Order Status,AGENT042,,Resolved,4.0,Issue escalated
CRM0002698,CUST002955,2022-10-30,Phone Call,Technical Support,AGENT040,22.0,Resolved,2.0,
CRM0004407,CUST001548,2022-10-30,Phone Call,Billing Issue,AGENT011,38.0,Pending,,
CRM0005569,CUST002823,2022-10-30,Social Media,Billing Issue,AGENT029,17.0,Resolved,,
CRM0002659,CUST001837,2022-10-30,In-Person,Technical Support,AGENT022,20.0,Pending,4.0,Customer satisfied
CRM0004765,CUST002344,2022-10-30,In-Person,Technical Support,AGENT012,32.0,Resolved,5.0,Customer satisfied
CRM0002933,CUST000315,2022-10-30,Chat,Complaint,AGENT047,3.0,Resolved,5.0,
CRM0003686,CUST004448,2022-10-30,Phone Call,General Question,AGENT019,,Resolved,3.0,Complex issue
CRM0001202,CUST002471,2022-10-30,Social Media,Product Inquiry,AGENT024,,Resolved,2.0,
CRM0000115,CUST001834,2022-10-30,In-Person,Technical Support,AGENT046,49.0,Resolved,,Customer satisfied
CRM0006279,CUST001658,2022-10-31,In-Person,Order Status,AGENT034,16.0,Resolved,4.0,Issue escalated
CRM0004214,CUST000832,2022-10-31,Chat,General Question,AGENT001,52.0,Pending,,Customer satisfied
CRM0000939,CUST004794,2022-10-31,Chat,Complaint,AGENT037,41.0,Resolved,5.0,Complex issue
CRM0007653,CUST001815,2022-10-31,In-Person,Technical Support,AGENT021,,Escalated,5.0,Customer satisfied
