interaction_id,customer_id,interaction_date,interaction_type,reason,sentiment,resolution_status,agent_id,duration_minutes,satisfaction_score
INT0002628,CUST001398,2023-08-28 15:00:00,Store Visit,Feedback,Neutral,Resolved,AGENT007,5,
INT0002629,CUST000971,2023-05-25 12:00:00,Social Media,Feedback,Positive,Resolved,AGENT004,38,
INT0002630,CUST002214,2024-03-01 10:00:00,Chat,Return Request,Positive,Pending,AGENT032,43,5.0
INT0002631,CUST004003,2024-08-22 18:00:00,Email,Inquiry,Neutral,Closed,AGENT036,20,
INT0002632,CUST003756,2024-08-03 04:00:00,Social Media,Support,Neutral,Closed,AGENT049,11,3.0
INT0002633,CUST004963,2023-04-02 15:00:00,Email,Inquiry,Neutral,Pending,AGENT028,41,4.0
INT0002634,CUST003468,2024-09-02 05:00:00,Chat,Complaint,Neutral,Closed,AGENT045,25,5.0
INT0002635,CUST004154,2024-08-22 00:00:00,Email,Support,Negative,Resolved,AGENT011,13,3.0
INT0002636,CUST000246,2023-12-05 04:00:00,Phone Call,Complaint,Positive,Escalated,AGENT009,39,
INT0002637,CUST004336,2023-04-14 17:00:00,Email,Support,Neutral,Escalated,AGENT002,24,
INT0002638,CUST004756,2024-07-30 01:00:00,Store Visit,Complaint,Positive,Pending,AGENT038,11,3.0
INT0002639,CUST000276,2023-05-02 18:00:00,Chat,Return Request,Neutral,Escalated,AGENT049,45,3.0
INT0002640,CUST000759,2024-02-16 11:00:00,Social Media,Complaint,Negative,Closed,AGENT019,8,
INT0002641,CUST004487,2022-07-21 09:00:00,Store Visit,Support,Negative,Pending,AGENT050,36,5.0
INT0002642,CUST004817,2023-07-31 23:00:00,Phone Call,Return Request,Neutral,Resolved,AGENT006,12,
INT0002643,CUST001722,2023-07-13 15:00:00,Store Visit,Return Request,Neutral,Escalated,AGENT048,45,2.0
INT0002644,CUST003590,2023-01-24 10:00:00,Store Visit,Inquiry,Negative,Resolved,AGENT017,18,5.0
INT0002645,CUST000170,2022-02-15 10:00:00,Social Media,Support,Neutral,Escalated,AGENT009,8,
INT0002646,CUST003276,2022-11-25 00:00:00,Email,Inquiry,Neutral,Escalated,AGENT033,8,2.0
INT0002647,CUST002476,2024-01-03 02:00:00,Chat,Support,Neutral,Pending,AGENT011,31,1.0
INT0002648,CUST000223,2022-05-11 21:00:00,Email,Feedback,Neutral,Resolved,AGENT001,17,1.0
INT0002649,CUST002278,2022-09-21 17:00:00,Social Media,Inquiry,Negative,Resolved,AGENT005,35,2.0
INT0002650,CUST002004,2023-08-10 05:00:00,Social Media,Support,Positive,Pending,AGENT048,36,5.0
INT0002651,CUST002688,2023-09-02 17:00:00,Chat,Complaint,Neutral,Closed,AGENT023,39,5.0
INT0002652,CUST000099,2022-03-08 19:00:00,Store Visit,Return Request,Negative,Closed,AGENT032,15,5.0
INT0002653,CUST002201,2024-04-27 05:00:00,Social Media,Support,Positive,Resolved,AGENT026,10,2.0
INT0002654,CUST001545,2022-09-23 17:00:00,Store Visit,Return Request,Positive,Closed,AGENT029,28,5.0
INT0002655,CUST002701,2024-05-05 12:00:00,Social Media,Complaint,Positive,Pending,AGENT008,29,3.0
INT0002656,CUST004460,2023-08-07 16:00:00,Store Visit,Feedback,Negative,Escalated,AGENT001,8,1.0
INT0002657,CUST002802,2023-11-08 12:00:00,Social Media,Return Request,Negative,Closed,AGENT001,8,
INT0002658,CUST004934,2024-06-01 01:00:00,Store Visit,Return Request,Negative,Resolved,AGENT041,12,5.0
INT0002659,CUST004752,2024-08-10 08:00:00,Chat,Inquiry,Negative,Resolved,AGENT044,21,2.0
INT0002660,CUST004197,2023-08-30 11:00:00,Email,Feedback,Neutral,Escalated,AGENT023,27,2.0
INT0002661,CUST001134,2022-05-11 11:00:00,Email,Feedback,Negative,Closed,AGENT050,44,1.0
INT0002662,CUST000672,2022-08-27 03:00:00,Chat,Complaint,Neutral,Pending,AGENT004,19,1.0
INT0002663,CUST001072,2024-07-01 05:00:00,Store Visit,Inquiry,Negative,Closed,AGENT042,36,4.0
INT0002664,CUST003828,2023-07-18 09:00:00,Phone Call,Return Request,Positive,Resolved,AGENT036,45,
INT0002665,CUST003803,2024-09-14 17:00:00,Social Media,Complaint,Neutral,Pending,AGENT015,41,4.0
INT0002666,CUST000495,2022-05-02 08:00:00,Phone Call,Support,Negative,Escalated,AGENT035,43,
INT0002667,CUST001863,2022-10-22 03:00:00,Social Media,Feedback,Neutral,Escalated,AGENT002,7,1.0
INT0002668,CUST003520,2022-01-08 21:00:00,Email,Return Request,Neutral,Pending,AGENT008,25,1.0
INT0002669,CUST001601,2024-05-06 06:00:00,Email,Inquiry,Neutral,Escalated,AGENT045,41,3.0
INT0002670,CUST003214,2022-11-02 09:00:00,Email,Inquiry,Negative,Pending,AGENT024,29,
INT0002671,CUST004478,2022-12-30 02:00:00,Social Media,Feedback,Positive,Resolved,AGENT022,14,4.0
INT0002672,CUST001143,2022-08-02 22:00:00,Store Visit,Support,Neutral,Pending,AGENT042,6,2.0
INT0002673,CUST002290,2024-08-26 06:00:00,Social Media,Complaint,Positive,Escalated,AGENT021,24,4.0
INT0002674,CUST003918,2022-05-20 04:00:00,Email,Support,Positive,Pending,AGENT042,26,2.0
INT0002675,CUST000290,2022-02-28 00:00:00,Email,Return Request,Neutral,Resolved,AGENT032,40,
INT0002676,CUST004810,2023-03-24 12:00:00,Store Visit,Complaint,Neutral,Pending,AGENT006,10,2.0
INT0002677,CUST002061,2023-09-10 01:00:00,Social Media,Feedback,Negative,Pending,AGENT028,45,4.0
INT0002678,CUST003418,2024-04-17 02:00:00,Phone Call,Support,Negative,Pending,AGENT044,44,2.0
INT0002679,CUST002003,2022-09-13 18:00:00,Email,Support,Positive,Closed,AGENT003,36,4.0
INT0002680,CUST002545,2024-01-29 23:00:00,Phone Call,Feedback,Positive,Resolved,AGENT016,18,4.0
INT0002681,CUST004181,2023-01-11 19:00:00,Store Visit,Complaint,Positive,Escalated,AGENT007,19,5.0
INT0002682,CUST004304,2024-05-28 15:00:00,Social Media,Support,Neutral,Escalated,AGENT005,40,
INT0002683,CUST002313,2022-03-29 00:00:00,Email,Support,Negative,Closed,AGENT013,15,5.0
INT0002684,CUST004824,2022-10-23 12:00:00,Chat,Feedback,Negative,Escalated,AGENT006,37,1.0
INT0002685,CUST000267,2022-05-12 12:00:00,Phone Call,Feedback,Neutral,Closed,AGENT023,6,
INT0002686,CUST004923,2023-04-07 11:00:00,Email,Inquiry,Negative,Escalated,AGENT011,19,
INT0002687,CUST000941,2023-11-06 12:00:00,Email,Feedback,Positive,Closed,AGENT013,28,4.0
INT0002688,CUST004440,2022-06-13 11:00:00,Email,Feedback,Negative,Closed,AGENT049,16,5.0
INT0002689,CUST004264,2024-02-03 16:00:00,Phone Call,Complaint,Negative,Closed,AGENT023,44,4.0
INT0002690,CUST004894,2023-06-04 00:00:00,Social Media,Inquiry,Negative,Escalated,AGENT029,27,3.0
INT0002691,CUST002594,2023-08-18 08:00:00,Chat,Support,Positive,Resolved,AGENT024,24,3.0
INT0002692,CUST001053,2023-07-10 20:00:00,Phone Call,Support,Positive,Resolved,AGENT005,37,
INT0002693,CUST000800,2022-05-28 13:00:00,Email,Complaint,Positive,Pending,AGENT006,40,4.0
INT0002694,CUST004269,2024-03-04 18:00:00,Phone Call,Inquiry,Positive,Closed,AGENT022,4,1.0
INT0002695,CUST000049,2022-08-20 23:00:00,Social Media,Feedback,Negative,Escalated,AGENT049,34,
INT0002696,CUST000356,2024-05-06 03:00:00,Chat,Support,Positive,Resolved,AGENT049,14,5.0
INT0002697,CUST000587,2022-11-25 08:00:00,Social Media,Support,Negative,Pending,AGENT028,3,1.0
INT0002698,CUST004845,2022-09-08 02:00:00,Phone Call,Inquiry,Negative,Resolved,AGENT004,20,3.0
INT0002699,CUST002102,2024-03-12 07:00:00,Store Visit,Feedback,Negative,Resolved,AGENT017,17,
INT0002700,CUST001942,2022-10-16 13:00:00,Email,Feedback,Positive,Resolved,AGENT013,5,5.0
INT0002701,CUST003645,2022-11-07 08:00:00,Chat,Complaint,Positive,Closed,AGENT046,36,4.0
INT0002702,CUST003920,2022-10-13 07:00:00,Phone Call,Return Request,Positive,Resolved,AGENT047,15,4.0
INT0002703,CUST000646,2024-05-31 12:00:00,Social Media,Feedback,Neutral,Pending,AGENT021,16,
INT0002704,CUST000710,2024-04-04 23:00:00,Store Visit,Support,Positive,Closed,AGENT046,4,1.0
INT0002705,CUST002865,2022-10-23 05:00:00,Chat,Support,Negative,Pending,AGENT028,35,2.0
INT0002706,CUST001001,2024-07-27 17:00:00,Store Visit,Inquiry,Positive,Closed,AGENT029,6,
INT0002707,CUST001872,2022-11-20 18:00:00,Store Visit,Support,Positive,Closed,AGENT047,17,5.0
INT0002708,CUST000026,2022-08-13 09:00:00,Chat,Complaint,Negative,Escalated,AGENT015,43,2.0
INT0002709,CUST000059,2023-05-02 18:00:00,Chat,Inquiry,Positive,Escalated,AGENT032,11,4.0
INT0002710,CUST002131,2022-08-13 13:00:00,Social Media,Support,Neutral,Closed,AGENT045,37,1.0
INT0002711,CUST001619,2023-04-28 18:00:00,Social Media,Complaint,Neutral,Resolved,AGENT018,5,
INT0002712,CUST001806,2023-06-12 23:00:00,Email,Return Request,Positive,Escalated,AGENT049,11,
INT0002713,CUST004505,2022-10-28 14:00:00,Email,Support,Negative,Escalated,AGENT009,17,2.0
INT0002714,CUST002827,2023-07-30 01:00:00,Phone Call,Support,Neutral,Escalated,AGENT009,24,
INT0002715,CUST004826,2023-09-30 06:00:00,Store Visit,Inquiry,Positive,Escalated,AGENT004,5,3.0
INT0002716,CUST000725,2023-08-19 03:00:00,Phone Call,Complaint,Neutral,Escalated,AGENT042,5,1.0
INT0002717,CUST002044,2022-07-15 02:00:00,Email,Support,Negative,Pending,AGENT007,5,3.0
INT0002718,CUST003018,2024-09-25 16:00:00,Store Visit,Support,Negative,Escalated,AGENT033,34,3.0
INT0002719,CUST000623,2022-05-20 04:00:00,Phone Call,Inquiry,Negative,Resolved,AGENT005,31,
INT0002720,CUST002013,2022-03-23 01:00:00,Social Media,Return Request,Positive,Pending,AGENT018,22,
INT0002721,CUST000602,2023-05-14 18:00:00,Email,Return Request,Positive,Escalated,AGENT022,42,3.0
INT0002722,CUST004076,2022-06-22 19:00:00,Store Visit,Inquiry,Positive,Escalated,AGENT050,16,
INT0002723,CUST004341,2023-03-21 18:00:00,Email,Return Request,Neutral,Pending,AGENT016,42,1.0
INT0002724,CUST004486,2022-10-21 14:00:00,Email,Return Request,Positive,Escalated,AGENT037,34,
INT0002725,CUST001434,2022-08-23 01:00:00,Phone Call,Feedback,Neutral,Pending,AGENT023,43,4.0
INT0002726,CUST002455,2024-07-17 10:00:00,Store Visit,Support,Neutral,Resolved,AGENT029,6,1.0
INT0002727,CUST001680,2024-07-31 03:00:00,Social Media,Inquiry,Positive,Pending,AGENT027,11,1.0
INT0002728,CUST004748,2022-01-26 11:00:00,Store Visit,Return Request,Neutral,Closed,AGENT044,35,2.0
INT0002729,CUST003411,2024-07-25 21:00:00,Store Visit,Complaint,Negative,Escalated,AGENT028,19,
INT0002730,CUST001154,2023-04-07 19:00:00,Chat,Complaint,Positive,Escalated,AGENT034,11,1.0
INT0002731,CUST004513,2022-09-12 16:00:00,Store Visit,Complaint,Positive,Pending,AGENT025,42,5.0
INT0002732,CUST000820,2023-11-26 19:00:00,Phone Call,Feedback,Neutral,Pending,AGENT050,29,2.0
INT0002733,CUST004297,2024-02-21 15:00:00,Chat,Support,Positive,Escalated,AGENT007,21,2.0
INT0002734,CUST003159,2022-11-03 10:00:00,Phone Call,Inquiry,Negative,Pending,AGENT036,41,
INT0002735,CUST004704,2022-03-08 20:00:00,Phone Call,Inquiry,Positive,Resolved,AGENT004,29,3.0
INT0002736,CUST004259,2022-06-07 16:00:00,Email,Feedback,Negative,Closed,AGENT018,45,
INT0002737,CUST003475,2022-09-13 03:00:00,Phone Call,Inquiry,Positive,Escalated,AGENT029,19,4.0
INT0002738,CUST002391,2022-06-29 20:00:00,Social Media,Return Request,Neutral,Pending,AGENT050,42,
INT0002739,CUST003403,2022-05-04 01:00:00,Phone Call,Return Request,Neutral,Closed,AGENT006,3,
INT0002740,CUST001520,2023-08-28 23:00:00,Social Media,Inquiry,Positive,Closed,AGENT048,39,5.0
INT0002741,CUST001226,2023-07-09 14:00:00,Chat,Support,Negative,Escalated,AGENT018,21,1.0
INT0002742,CUST000398,2023-06-22 21:00:00,Chat,Feedback,Neutral,Pending,AGENT041,17,5.0
INT0002743,CUST001759,2024-02-22 15:00:00,Social Media,Feedback,Negative,Pending,AGENT037,34,4.0
INT0002744,CUST002444,2022-03-30 11:00:00,Phone Call,Feedback,Positive,Closed,AGENT004,12,2.0
INT0002745,CUST003196,2024-06-25 17:00:00,Phone Call,Support,Positive,Resolved,AGENT047,25,5.0
INT0002746,CUST004225,2023-10-20 06:00:00,Chat,Support,Negative,Closed,AGENT034,27,5.0
INT0002747,CUST002398,2023-01-16 22:00:00,Social Media,Return Request,Neutral,Resolved,AGENT039,28,3.0
INT0002748,CUST001329,2022-05-11 12:00:00,Social Media,Complaint,Negative,Closed,AGENT009,44,
INT0002749,CUST001804,2022-01-12 13:00:00,Store Visit,Support,Positive,Escalated,AGENT027,18,4.0
INT0002750,CUST000297,2022-07-31 08:00:00,Chat,Return Request,Negative,Escalated,AGENT048,19,
INT0002751,CUST004602,2023-04-21 03:00:00,Social Media,Return Request,Positive,Pending,AGENT043,9,
INT0002752,CUST002115,2024-04-04 19:00:00,Store Visit,Feedback,Negative,Escalated,AGENT043,42,
INT0002753,CUST000651,2023-12-30 18:00:00,Phone Call,Return Request,Negative,Pending,AGENT014,35,5.0
INT0002754,CUST001498,2023-01-01 02:00:00,Phone Call,Feedback,Positive,Closed,AGENT021,9,
INT0002755,CUST001942,2023-06-01 12:00:00,Email,Feedback,Neutral,Resolved,AGENT029,35,5.0
INT0002756,CUST001255,2022-06-25 13:00:00,Email,Complaint,Positive,Closed,AGENT009,33,
INT0002757,CUST002703,2024-01-28 09:00:00,Social Media,Return Request,Negative,Closed,AGENT029,20,
INT0002758,CUST004348,2024-08-21 20:00:00,Phone Call,Feedback,Positive,Escalated,AGENT013,3,
INT0002759,CUST000954,2023-04-18 12:00:00,Store Visit,Inquiry,Neutral,Resolved,AGENT021,39,3.0
INT0002760,CUST001537,2022-11-08 23:00:00,Social Media,Inquiry,Negative,Resolved,AGENT007,15,4.0
INT0002761,CUST004568,2024-05-24 21:00:00,Email,Support,Neutral,Closed,AGENT049,32,1.0
INT0002762,CUST002059,2023-08-12 07:00:00,Social Media,Support,Positive,Escalated,AGENT001,17,
INT0002763,CUST003401,2024-05-28 04:00:00,Chat,Complaint,Neutral,Escalated,AGENT030,28,4.0
INT0002764,CUST001939,2023-10-04 15:00:00,Email,Inquiry,Neutral,Pending,AGENT033,19,5.0
INT0002765,CUST003860,2022-06-02 05:00:00,Chat,Return Request,Negative,Escalated,AGENT041,17,
INT0002766,CUST003184,2022-09-27 14:00:00,Email,Support,Positive,Pending,AGENT040,34,4.0
INT0002767,CUST000843,2024-02-07 05:00:00,Chat,Complaint,Neutral,Escalated,AGENT014,6,4.0
INT0002768,CUST003837,2023-03-13 06:00:00,Phone Call,Return Request,Negative,Closed,AGENT009,19,
INT0002769,CUST004780,2022-06-02 21:00:00,Chat,Inquiry,Positive,Closed,AGENT007,26,1.0
INT0002770,CUST001533,2024-04-11 15:00:00,Email,Inquiry,Positive,Pending,AGENT040,37,2.0
INT0002771,CUST000279,2024-08-18 05:00:00,Phone Call,Feedback,Neutral,Pending,AGENT005,29,3.0
INT0002772,CUST004187,2022-02-12 22:00:00,Store Visit,Feedback,Positive,Escalated,AGENT049,44,
INT0002773,CUST002592,2024-05-07 06:00:00,Social Media,Return Request,Negative,Resolved,AGENT012,42,1.0
INT0002774,CUST003457,2022-03-28 02:00:00,Email,Return Request,Negative,Resolved,AGENT012,13,2.0
INT0002775,CUST002994,2022-10-10 19:00:00,Store Visit,Feedback,Positive,Pending,AGENT046,38,1.0
INT0002776,CUST004786,2022-06-26 18:00:00,Store Visit,Complaint,Negative,Resolved,AGENT030,2,4.0
INT0002777,CUST003908,2023-12-26 16:00:00,Store Visit,Feedback,Positive,Resolved,AGENT035,43,1.0
INT0002778,CUST002098,2023-12-14 11:00:00,Email,Feedback,Positive,Closed,AGENT004,8,4.0
INT0002779,CUST004552,2023-03-04 17:00:00,Phone Call,Complaint,Positive,Escalated,AGENT044,29,5.0
INT0002780,CUST002462,2022-07-10 08:00:00,Chat,Return Request,Neutral,Closed,AGENT048,34,4.0
INT0002781,CUST004103,2023-08-23 09:00:00,Chat,Support,Neutral,Pending,AGENT005,31,2.0
INT0002782,CUST004459,2022-10-16 10:00:00,Social Media,Return Request,Negative,Closed,AGENT007,10,5.0
INT0002783,CUST001602,2022-11-09 06:00:00,Store Visit,Complaint,Negative,Escalated,AGENT004,7,5.0
INT0002784,CUST000751,2022-02-16 08:00:00,Social Media,Complaint,Neutral,Resolved,AGENT030,43,
INT0002785,CUST004951,2023-08-03 04:00:00,Chat,Return Request,Negative,Closed,AGENT002,11,3.0
INT0002786,CUST002389,2022-08-05 14:00:00,Social Media,Support,Neutral,Resolved,AGENT044,7,
INT0002787,CUST002602,2022-03-11 23:00:00,Phone Call,Feedback,Negative,Escalated,AGENT019,14,
INT0002788,CUST001155,2023-02-23 13:00:00,Store Visit,Complaint,Negative,Pending,AGENT015,6,
INT0002789,CUST001518,2023-07-20 09:00:00,Phone Call,Inquiry,Negative,Resolved,AGENT018,16,
INT0002790,CUST001430,2024-01-21 18:00:00,Phone Call,Feedback,Neutral,Closed,AGENT030,45,4.0
INT0002791,CUST002577,2024-06-29 07:00:00,Store Visit,Feedback,Negative,Escalated,AGENT013,5,5.0
INT0002792,CUST002634,2024-09-07 21:00:00,Store Visit,Support,Negative,Pending,AGENT009,30,3.0
INT0002793,CUST003694,2022-06-22 15:00:00,Social Media,Feedback,Neutral,Resolved,AGENT019,3,1.0
INT0002794,CUST004059,2024-06-09 05:00:00,Phone Call,Support,Positive,Escalated,AGENT042,37,
INT0002795,CUST004053,2023-04-05 15:00:00,Store Visit,Feedback,Neutral,Pending,AGENT039,25,1.0
INT0002796,CUST001934,2023-08-10 07:00:00,Phone Call,Complaint,Neutral,Closed,AGENT020,22,
INT0002797,CUST000622,2023-03-29 15:00:00,Chat,Inquiry,Negative,Resolved,AGENT033,14,2.0
INT0002798,CUST003990,2024-06-05 13:00:00,Social Media,Support,Neutral,Resolved,AGENT020,17,
INT0002799,CUST000980,2024-06-29 23:00:00,Chat,Return Request,Negative,Resolved,AGENT003,16,
INT0002800,CUST004889,2022-05-17 21:00:00,Email,Support,Neutral,Closed,AGENT032,16,4.0
INT0002801,CUST003724,2023-03-07 08:00:00,Email,Support,Positive,Escalated,AGENT023,41,4.0
INT0002802,CUST000843,2023-06-22 03:00:00,Email,Feedback,Negative,Escalated,AGENT003,8,
INT0002803,CUST000482,2022-06-02 22:00:00,Social Media,Inquiry,Neutral,Escalated,AGENT043,34,2.0
INT0002804,CUST003899,2024-09-12 13:00:00,Phone Call,Feedback,Positive,Escalated,AGENT036,19,1.0
INT0002805,CUST003028,2022-11-10 21:00:00,Email,Feedback,Negative,Pending,AGENT018,13,
INT0002806,CUST003406,2022-12-25 00:00:00,Email,Inquiry,Neutral,Pending,AGENT037,10,5.0
INT0002807,CUST000634,2022-03-03 09:00:00,Email,Support,Negative,Resolved,AGENT021,3,3.0
INT0002808,CUST000853,2023-08-26 02:00:00,Chat,Complaint,Neutral,Pending,AGENT017,9,1.0
INT0002809,CUST004657,2022-05-23 08:00:00,Chat,Feedback,Neutral,Escalated,AGENT040,12,4.0
INT0002810,CUST000750,2022-03-02 07:00:00,Chat,Support,Neutral,Escalated,AGENT013,36,1.0
INT0002811,CUST003314,2023-06-24 14:00:00,Chat,Support,Negative,Closed,AGENT015,8,1.0
INT0002812,CUST004461,2023-01-04 13:00:00,Email,Feedback,Neutral,Escalated,AGENT021,34,3.0
INT0002813,CUST002594,2022-04-02 20:00:00,Social Media,Support,Neutral,Escalated,AGENT035,43,5.0
INT0002814,CUST003132,2023-01-23 06:00:00,Store Visit,Return Request,Negative,Escalated,AGENT008,13,
INT0002815,CUST003844,2022-07-13 18:00:00,Email,Inquiry,Negative,Closed,AGENT049,39,4.0
INT0002816,CUST002697,2023-07-03 06:00:00,Social Media,Support,Negative,Resolved,AGENT021,37,1.0
INT0002817,CUST003900,2024-06-29 13:00:00,Social Media,Return Request,Negative,Escalated,AGENT021,25,
INT0002818,CUST002133,2024-03-22 11:00:00,Store Visit,Return Request,Neutral,Pending,AGENT028,44,4.0
INT0002819,CUST002134,2024-06-06 07:00:00,Email,Complaint,Neutral,Resolved,AGENT019,38,4.0
INT0002820,CUST004975,2023-09-18 05:00:00,Store Visit,Return Request,Negative,Resolved,AGENT018,23,3.0
INT0002821,CUST003800,2024-06-16 18:00:00,Phone Call,Return Request,Neutral,Pending,AGENT025,27,4.0
INT0002822,CUST003955,2024-01-14 10:00:00,Phone Call,Complaint,Positive,Pending,AGENT019,29,3.0
INT0002823,CUST003873,2024-07-22 11:00:00,Email,Support,Neutral,Pending,AGENT008,8,5.0
INT0002824,CUST002718,2022-03-19 07:00:00,Chat,Feedback,Negative,Pending,AGENT029,31,5.0
INT0002825,CUST000824,2024-04-24 22:00:00,Chat,Inquiry,Negative,Closed,AGENT043,7,5.0
INT0002826,CUST000285,2022-04-23 17:00:00,Phone Call,Complaint,Positive,Closed,AGENT030,21,5.0
INT0002827,CUST000705,2022-12-04 12:00:00,Chat,Feedback,Positive,Escalated,AGENT039,26,4.0
INT0002828,CUST002374,2022-07-06 15:00:00,Phone Call,Return Request,Negative,Resolved,AGENT019,16,4.0
INT0002829,CUST004193,2022-05-29 20:00:00,Store Visit,Feedback,Positive,Closed,AGENT048,28,
INT0002830,CUST001827,2024-04-08 13:00:00,Store Visit,Return Request,Positive,Escalated,AGENT020,13,2.0
INT0002831,CUST000961,2022-01-26 18:00:00,Store Visit,Inquiry,Neutral,Pending,AGENT025,25,5.0
INT0002832,CUST001151,2022-06-09 04:00:00,Chat,Feedback,Neutral,Resolved,AGENT019,41,4.0
INT0002833,CUST000286,2022-10-05 18:00:00,Phone Call,Support,Negative,Resolved,AGENT024,40,4.0
INT0002834,CUST001824,2024-09-20 18:00:00,Chat,Inquiry,Positive,Resolved,AGENT025,31,5.0
INT0002835,CUST001860,2023-05-23 03:00:00,Social Media,Support,Positive,Escalated,AGENT048,38,1.0
INT0002836,CUST000028,2024-01-21 11:00:00,Social Media,Return Request,Negative,Resolved,AGENT018,21,1.0
INT0002837,CUST001045,2022-07-25 12:00:00,Email,Feedback,Positive,Resolved,AGENT038,13,2.0
INT0002838,CUST004770,2023-09-01 21:00:00,Email,Complaint,Neutral,Escalated,AGENT030,34,1.0
INT0002839,CUST003175,2024-03-28 19:00:00,Store Visit,Inquiry,Positive,Closed,AGENT035,27,5.0
INT0002840,CUST001940,2023-12-16 08:00:00,Chat,Feedback,Negative,Resolved,AGENT009,22,
INT0002841,CUST004587,2023-01-03 21:00:00,Chat,Return Request,Negative,Escalated,AGENT041,43,4.0
INT0002842,CUST000798,2023-06-26 19:00:00,Social Media,Complaint,Positive,Escalated,AGENT010,41,5.0
INT0002843,CUST003947,2023-09-01 21:00:00,Email,Feedback,Positive,Escalated,AGENT008,19,4.0
INT0002844,CUST003500,2023-12-19 16:00:00,Chat,Return Request,Negative,Escalated,AGENT015,35,
INT0002845,CUST003650,2023-07-30 22:00:00,Phone Call,Complaint,Neutral,Pending,AGENT003,32,5.0
INT0002846,CUST001538,2023-03-12 18:00:00,Store Visit,Support,Positive,Closed,AGENT027,31,2.0
INT0002847,CUST002079,2022-12-09 09:00:00,Chat,Feedback,Positive,Escalated,AGENT017,24,5.0
INT0002848,CUST004102,2023-04-21 00:00:00,Phone Call,Return Request,Neutral,Closed,AGENT007,30,1.0
INT0002849,CUST001189,2023-05-27 17:00:00,Chat,Support,Neutral,Resolved,AGENT048,30,1.0
INT0002850,CUST002751,2023-04-24 01:00:00,Email,Complaint,Negative,Pending,AGENT038,30,
INT0002851,CUST002554,2023-07-19 18:00:00,Chat,Inquiry,Neutral,Escalated,AGENT024,3,1.0
INT0002852,CUST003388,2023-01-31 10:00:00,Chat,Feedback,Neutral,Closed,AGENT037,18,3.0
INT0002853,CUST002096,2022-05-25 01:00:00,Social Media,Inquiry,Neutral,Resolved,AGENT018,10,1.0
INT0002854,CUST001299,2024-08-28 10:00:00,Social Media,Feedback,Negative,Pending,AGENT017,34,1.0
INT0002855,CUST001905,2024-02-14 20:00:00,Social Media,Return Request,Negative,Closed,AGENT040,14,1.0
INT0002856,CUST002560,2022-10-30 19:00:00,Store Visit,Support,Negative,Pending,AGENT029,25,2.0
INT0002857,CUST002561,2022-08-17 10:00:00,Phone Call,Complaint,Neutral,Closed,AGENT024,26,4.0
INT0002858,CUST002753,2024-09-08 12:00:00,Chat,Support,Neutral,Pending,AGENT014,9,2.0
INT0002859,CUST004996,2022-11-07 12:00:00,Store Visit,Complaint,Positive,Resolved,AGENT044,11,
INT0002860,CUST002828,2022-02-04 16:00:00,Store Visit,Support,Positive,Escalated,AGENT023,30,
INT0002861,CUST003498,2022-06-09 18:00:00,Chat,Return Request,Positive,Closed,AGENT025,43,3.0
INT0002862,CUST004830,2024-02-22 09:00:00,Social Media,Feedback,Positive,Pending,AGENT019,32,2.0
INT0002863,CUST001840,2022-08-06 12:00:00,Email,Complaint,Positive,Resolved,AGENT020,45,5.0
INT0002864,CUST002189,2024-02-29 20:00:00,Phone Call,Support,Neutral,Resolved,AGENT015,37,5.0
INT0002865,CUST003232,2024-05-01 18:00:00,Email,Complaint,Negative,Resolved,AGENT040,43,4.0
INT0002866,CUST002768,2024-06-20 10:00:00,Email,Inquiry,Positive,Escalated,AGENT046,44,
INT0002867,CUST001191,2022-09-07 11:00:00,Store Visit,Feedback,Negative,Pending,AGENT048,20,3.0
INT0002868,CUST001073,2024-02-22 15:00:00,Chat,Support,Positive,Escalated,AGENT018,37,
INT0002869,CUST004038,2024-01-10 16:00:00,Social Media,Complaint,Positive,Closed,AGENT009,27,3.0
INT0002870,CUST002271,2024-07-06 07:00:00,Chat,Complaint,Negative,Resolved,AGENT003,37,5.0
INT0002871,CUST002986,2023-07-14 18:00:00,Social Media,Inquiry,Negative,Closed,AGENT016,25,2.0
INT0002872,CUST003847,2022-03-15 12:00:00,Email,Feedback,Positive,Resolved,AGENT047,16,5.0
INT0002873,CUST001301,2023-12-27 16:00:00,Social Media,Return Request,Neutral,Escalated,AGENT009,41,3.0
INT0002874,CUST001810,2023-01-28 19:00:00,Chat,Inquiry,Neutral,Resolved,AGENT022,25,
INT0002875,CUST004148,2024-01-29 10:00:00,Phone Call,Feedback,Negative,Closed,AGENT013,31,5.0
INT0002876,CUST004089,2024-03-03 06:00:00,Social Media,Inquiry,Negative,Closed,AGENT025,18,3.0
INT0002877,CUST004945,2023-02-14 06:00:00,Social Media,Return Request,Neutral,Escalated,AGENT012,3,4.0
INT0002878,CUST001055,2024-01-03 21:00:00,Social Media,Complaint,Neutral,Escalated,AGENT004,21,1.0
INT0002879,CUST003765,2022-05-23 01:00:00,Email,Support,Negative,Resolved,AGENT025,9,2.0
INT0002880,CUST002071,2024-07-12 20:00:00,Store Visit,Complaint,Positive,Resolved,AGENT014,37,3.0
INT0002881,CUST003468,2024-01-23 03:00:00,Store Visit,Inquiry,Positive,Closed,AGENT007,38,2.0
INT0002882,CUST003826,2022-11-06 04:00:00,Chat,Support,Neutral,Resolved,AGENT006,11,2.0
